#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|            mersenne_twister.txt|  2.33e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.44703734|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.43368690|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.96271275|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.12295269|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.65153812|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.81942526|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.73426830|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.15827461|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.63894426|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.62719917|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.25898890|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.56762070|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.22223599|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.60909752|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.40446780|  PASSED  
             dab_dct| 256|     50000|       1|0.00806550|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.30092625|  PASSED  
        dab_filltree|  32|  15000000|       1|0.38130727|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.76804733|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.11573355|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.43832628|  PASSED  
