#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                 numpy_intel.txt|  2.32e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.94999598|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.05045770|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.25497411|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.35595114|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.68630313|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.75286588|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.21179133|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.46330683|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.43252057|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.27527451|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.62161252|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.99111211|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.75892685|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.29117313|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.50806840|  PASSED  
             dab_dct| 256|     50000|       1|0.53587719|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.48378179|  PASSED  
        dab_filltree|  32|  15000000|       1|0.12967105|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.03885899|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.60120046|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.74666188|  PASSED  
