#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|                systemrandom.txt|  2.25e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.45131091|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.19039163|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.69782504|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.91149324|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.38750279|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.50127621|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.20402052|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.39229164|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.91765045|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.68148178|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.04076069|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.88217776|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.43077044|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.22524643|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.08074832|  PASSED  
             dab_dct| 256|     50000|       1|0.52771208|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.08577953|  PASSED  
        dab_filltree|  32|  15000000|       1|0.11727671|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.16541389|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.70315985|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.00543599|  PASSED  
