#=============================================================================#
#            dieharder version 3.31.1 Copyright 2003 Robert G. Brown          #
#=============================================================================#
   rng_name    |           filename             |rands/second|
        mt19937|              blum_blum_shub.txt|  1.30e+08  |
#=============================================================================#
        test_name   |ntup| tsamples |psamples|  p-value |Assessment
      rgb_lagged_sum|  20|   1000000|     100|0.35563655|  PASSED  
      rgb_lagged_sum|  21|   1000000|     100|0.04671453|  PASSED  
      rgb_lagged_sum|  22|   1000000|     100|0.65167639|  PASSED  
      rgb_lagged_sum|  23|   1000000|     100|0.74016254|  PASSED  
      rgb_lagged_sum|  24|   1000000|     100|0.08413837|  PASSED  
      rgb_lagged_sum|  25|   1000000|     100|0.48364223|  PASSED  
      rgb_lagged_sum|  26|   1000000|     100|0.36046217|  PASSED  
      rgb_lagged_sum|  27|   1000000|     100|0.92347537|  PASSED  
      rgb_lagged_sum|  28|   1000000|     100|0.03107764|  PASSED  
      rgb_lagged_sum|  29|   1000000|     100|0.04067295|  PASSED  
      rgb_lagged_sum|  30|   1000000|     100|0.37639789|  PASSED  
      rgb_lagged_sum|  31|   1000000|     100|0.55243883|  PASSED  
      rgb_lagged_sum|  32|   1000000|     100|0.62821054|  PASSED  
     rgb_kstest_test|   0|     10000|    1000|0.10684969|  PASSED  
     dab_bytedistrib|   0|  51200000|       1|0.84587810|  PASSED  
             dab_dct| 256|     50000|       1|0.14125965|  PASSED  
Preparing to run test 207.  ntuple = 0
        dab_filltree|  32|  15000000|       1|0.58618163|  PASSED  
        dab_filltree|  32|  15000000|       1|0.46812990|  PASSED  
Preparing to run test 208.  ntuple = 0
       dab_filltree2|   0|   5000000|       1|0.77490970|  PASSED  
       dab_filltree2|   1|   5000000|       1|0.65888559|  PASSED  
Preparing to run test 209.  ntuple = 0
        dab_monobit2|  12|  65000000|       1|0.05631288|  PASSED  
